area,header,class,method,method_line,method_status,priority,next_phase,implementation_group,signature,rationale
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeMetal,54,missing,P1,Phase 9 GPU,gpu_no_callback_value_query,"static sk_sp<GrDirectContext> MakeMetal(const GrMtlBackendContext&, const GrContextOptions&);",GPU residual should start from value/query APIs before callback/native-state APIs.
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeMetal,54,missing,P1,Phase 9 GPU,gpu_no_callback_value_query,static sk_sp<GrDirectContext> MakeMetal(const GrMtlBackendContext&);,GPU residual should start from value/query APIs before callback/native-state APIs.
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeMetal,54,missing,P1,Phase 9 GPU,gpu_no_callback_value_query,"static sk_sp<GrDirectContext> MakeMetal(void* device, void* queue, const GrContextOptions&);",GPU residual should start from value/query APIs before callback/native-state APIs.
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeMetal,54,missing,P1,Phase 9 GPU,gpu_no_callback_value_query,"static sk_sp<GrDirectContext> MakeMetal(void* device, void* queue);",GPU residual should start from value/query APIs before callback/native-state APIs.
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeMock,54,missing,P1,Phase 9 GPU,gpu_no_callback_value_query,"static sk_sp<GrDirectContext> MakeMock(const GrMockOptions*, const GrContextOptions&);",GPU residual should start from value/query APIs before callback/native-state APIs.
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeMock,54,missing,P1,Phase 9 GPU,gpu_no_callback_value_query,static sk_sp<GrDirectContext> MakeMock(const GrMockOptions*);,GPU residual should start from value/query APIs before callback/native-state APIs.
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeVulkan,54,missing,P1,Phase 9 GPU,gpu_no_callback_value_query,"static sk_sp<GrDirectContext> MakeVulkan(const GrVkBackendContext&, const GrContextOptions&);",GPU residual should start from value/query APIs before callback/native-state APIs.
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeVulkan,54,missing,P1,Phase 9 GPU,gpu_no_callback_value_query,static sk_sp<GrDirectContext> MakeVulkan(const GrVkBackendContext&);,GPU residual should start from value/query APIs before callback/native-state APIs.
modules/sksg,modules/sksg/include/SkSGClipEffect.h,ClipEffect,Make,11,missing,P3,Phase 9 optional,sksg_graph_ownership_design,"static sk_sp<ClipEffect> Make(sk_sp<RenderNode> child, sk_sp<GeometryNode> clip, bool aa = false, bool force_clip = false) { return (child && clip) ? sk_sp<ClipEffect>(new ClipEffect(std::move(child), std::move(clip), aa, force_clip)) : nul",SKSG needs graph ownership design; shortlist identifies first concrete nodes to review.
modules/sksg,modules/sksg/include/SkSGColorFilter.h,ExternalColorFilter,Make,33,missing,P3,Phase 9 optional,sksg_graph_ownership_design,static sk_sp<ExternalColorFilter> Make(sk_sp<RenderNode> child);,SKSG needs graph ownership design; shortlist identifies first concrete nodes to review.
