area,header,class,method,method_line,method_static,triage,priority,signature,note
modules/skottie,modules/skottie/include/ExternalLayer.h,ExternalLayer,render,12,no,na,P3,"virtual void render(SkCanvas* canvas, double t) = 0;",Phase 5 later/design: callback/subclass observer surface needs lifetime and registration design before binding
modules/skottie,modules/skottie/include/ExternalLayer.h,PrecompInterceptor,onLoadPrecomp,19,no,na,P3,"virtual sk_sp<ExternalLayer> onLoadPrecomp(const char id[], const char name[], const SkSize& size) = 0;",Phase 5 later/design: callback/subclass observer surface needs lifetime and registration design before binding
modules/skottie,modules/skottie/include/Skottie.h,Logger,log,42,no,na,P3,"virtual void log(Level, const char message[], const char* json = nullptr);",Phase 5 later/design: callback/subclass observer surface needs lifetime and registration design before binding
modules/skottie,modules/skottie/include/Skottie.h,T,evaluate,48,no,real_gap,P3,virtual T evaluate(float t) = 0;,Phase 5 later: skottie public API candidate after Animation and SlotManager
modules/skottie,modules/skottie/include/Skottie.h,ExpressionManager,createNumberExpressionEvaluator,56,no,na,P3,virtual sk_sp<ExpressionEvaluator<float>> createNumberExpressionEvaluator( const char expression[]) = 0;,Phase 5 later/design: callback/subclass observer surface needs lifetime and registration design before binding
modules/skottie,modules/skottie/include/Skottie.h,ExpressionManager,createStringExpressionEvaluator,56,no,na,P3,virtual sk_sp<ExpressionEvaluator<SkString>> createStringExpressionEvaluator( const char expression[]) = 0;,Phase 5 later/design: callback/subclass observer surface needs lifetime and registration design before binding
modules/skottie,modules/skottie/include/Skottie.h,ExpressionManager,createArrayExpressionEvaluator,56,no,na,P3,virtual sk_sp<ExpressionEvaluator<std::vector<float>>> createArrayExpressionEvaluator( const char expression[]) = 0;,Phase 5 later/design: callback/subclass observer surface needs lifetime and registration design before binding
modules/skottie,modules/skottie/include/Skottie.h,MarkerObserver,onMarker,69,no,na,P3,"virtual void onMarker(const char name[], float t0, float t1) = 0;",Phase 5 later/design: callback/subclass observer surface needs lifetime and registration design before binding
modules/skottie,modules/skottie/include/Skottie.h,Animation,~Animation,142,no,false_positive,P0,~Animation();,destructor/lifetime should be represented by wrapper release/delete API
modules/skottie,modules/skottie/include/Skottie.h,Animation,inPoint,160,no,real_gap,P1,double inPoint() const { return fInPoint; },Phase 5: extend existing Skottie_Animation C API with remaining simple accessors
