row_id,header,class,method,method_line,next_phase,bucket,priority,action,note
1,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,GrBackendDrawableInfo,7,Phase 22,value_wrapper,P2,"Implement default/Vulkan constructor and query wrappers","Vulkan-specific constructor/query may need RESKIA Vulkan guard."
2,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,GrBackendDrawableInfo,7,Phase 22,value_wrapper,P2,"Implement default/Vulkan constructor and query wrappers","Vulkan-specific constructor/query may need RESKIA Vulkan guard."
3,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,isValid,7,Phase 22,value_wrapper,P2,"Implement default/Vulkan constructor and query wrappers","Small backend value wrapper."
4,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,backend,7,Phase 22,value_wrapper,P2,"Implement default/Vulkan constructor and query wrappers","Small backend value wrapper."
5,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,getVkDrawableInfo,7,Phase 22,value_wrapper,P2,"Implement default/Vulkan constructor and query wrappers","Vulkan-specific query may need RESKIA Vulkan guard."
6,include/gpu/GrContextOptions.h,GrContextOptions,GrContextOptions,52,Phase 22,value_wrapper,P2,"Add default context options wrapper or classify stale","Confirm existing Graphite/Ganesh options wrappers before editing."
7,include/gpu/GrRecordingContext.h,GrRecordingContext,skCapabilities,34,Phase 23,provider_design,P3,"Design SkCapabilities wrapper/ownership","Returns sk_sp<const SkCapabilities>; needs capability object ABI."
8,include/gpu/ShaderErrorHandler.h,ShaderErrorHandler,compileError,8,Phase 23,callback_design,P3,"Design concrete C callback subclass or classify abstract-only","Pure virtual callback sink."
9,include/gpu/ganesh/GrExternalTextureGenerator.h,GrExternalTexture,getBackendTexture,17,Phase 23,provider_design,P3,"Design external texture generator bridge","Abstract GPU provider returns backend texture and owns disposal semantics."
10,include/gpu/ganesh/GrExternalTextureGenerator.h,GrExternalTexture,dispose,17,Phase 23,provider_design,P3,"Design external texture generator bridge","Abstract GPU provider returns backend texture and owns disposal semantics."
