area,header,class,method,method_line,method_status,matched_capi,triage,priority,residual_kind,signature,generator_action,note
include/gpu,include/gpu/graphite/vk/VulkanGraphiteTypes.h,VulkanTextureInfo,VulkanTextureInfo,9,missing,,na,P3,vulkan_optional_backend,VulkanTextureInfo() = default;,Phase 23A GPU optional Vulkan guard,Graphite Vulkan texture info requires SK_VULKAN and bundled Vulkan headers; keep out of portable C ABI coverage until a Vulkan build target exists.
include/gpu,include/gpu/graphite/vk/VulkanGraphiteTypes.h,VulkanTextureInfo,VulkanTextureInfo,9,missing,,na,P3,vulkan_optional_backend,"VulkanTextureInfo(uint32_t sampleCount, Mipmapped mipmapped, VkImageCreateFlags flags, VkFormat format, VkImageTiling imageTiling, VkImageUsageFlags imageUsageFlags, VkSharingMode sharingMode, VkImageAspectFlags aspectMask, VulkanYcbcrConve",Phase 23A GPU optional Vulkan guard,Graphite Vulkan texture info scalar constructor depends on Vulkan native enum/flag types and Vulkan headers; keep out of portable C ABI coverage until a Vulkan build target exists.
include/gpu,include/gpu/vk/GrVkTypes.h,GrVkImageInfo,operator==,12,missing,,na,P3,vulkan_optional_backend,"bool operator==(const GrVkImageInfo& that) const { bool equal = fImage == that.fImage && fAlloc == that.fAlloc && fImageTiling == that.fImageTiling && fImageLayout == that.fImageLayout && fFormat == that.fFormat && fImageUsageFlags == that.",Phase 23A GPU optional Vulkan guard,GrVkImageInfo equality depends on Vulkan native handles and bundled Vulkan headers; keep out of portable C ABI coverage until a Vulkan build target exists.
include/gpu,include/gpu/vk/VulkanExtensions.h,VulkanExtensions,VulkanExtensions,11,missing,,na,P3,vulkan_optional_backend,VulkanExtensions() {},Phase 23A GPU optional Vulkan guard,VulkanExtensions requires Vulkan native header types; keep out of portable C ABI coverage until a Vulkan build target exists.
include/gpu,include/gpu/vk/VulkanExtensions.h,VulkanExtensions,init,11,missing,,na,P3,vulkan_optional_backend,"void init(VulkanGetProc, VkInstance, VkPhysicalDevice, uint32_t instanceExtensionCount, const char* const* instanceExtensions, uint32_t deviceExtensionCount, const char* const* deviceExtensions);",Phase 23A GPU optional Vulkan guard,VulkanExtensions::init also requires VulkanGetProc callback ownership; defer with optional Vulkan backend support rather than portable C ABI.
include/gpu,include/gpu/vk/VulkanExtensions.h,VulkanExtensions,hasExtension,11,missing,,na,P3,vulkan_optional_backend,"bool hasExtension(const char[], uint32_t minVersion) const;",Phase 23A GPU optional Vulkan guard,Vulkan extension queries depend on VulkanExtensions object availability; keep out until optional Vulkan build target exists.
include/gpu,include/gpu/vk/VulkanTypes.h,VulkanAlloc,operator==,35,missing,,na,P3,vulkan_optional_backend,"bool operator==(const VulkanAlloc& that) const { return fMemory == that.fMemory && fOffset == that.fOffset && fSize == that.fSize && fFlags == that.fFlags && fUsesSystemHeap == that.fUsesSystemHeap; }",Phase 23A GPU optional Vulkan guard,VulkanAlloc equality depends on VkDeviceMemory/VkDeviceSize types and Vulkan headers; keep out of portable C ABI coverage until a Vulkan build target exists.
include/gpu,include/gpu/vk/VulkanTypes.h,VulkanYcbcrConversionInfo,operator==,48,missing,,na,P3,vulkan_optional_backend,"bool operator==(const VulkanYcbcrConversionInfo& that) const { if (!this->isValid() && !that.isValid()) { return true; } return this->fFormat == that.fFormat && this->fExternalFormat == that.fExternalFormat && this->fYcbcrModel == that.fYcb",Phase 23A GPU optional Vulkan guard,VulkanYcbcrConversionInfo equality depends on Vulkan sampler conversion enums and Vulkan headers; keep out until optional Vulkan build target exists.
include/gpu,include/gpu/vk/VulkanTypes.h,VulkanYcbcrConversionInfo,operator!=,48,missing,,na,P3,vulkan_optional_backend,"bool operator!=(const VulkanYcbcrConversionInfo& that) const { return !(*this == that); }",Phase 23A GPU optional Vulkan guard,VulkanYcbcrConversionInfo inequality depends on Vulkan sampler conversion enums and Vulkan headers; keep out until optional Vulkan build target exists.
include/gpu,include/gpu/vk/VulkanTypes.h,VulkanYcbcrConversionInfo,isValid,48,missing,,na,P3,vulkan_optional_backend,"bool isValid() const { return fYcbcrModel != VK_SAMPLER_YCBCR_MODEL_CONVERSION_RGB_IDENTITY || fExternalFormat != 0; }",Phase 23A GPU optional Vulkan guard,VulkanYcbcrConversionInfo validity depends on Vulkan sampler conversion enums and Vulkan headers; keep out until optional Vulkan build target exists.
