area,header,class,method,method_line,method_static,method_status,matched_capi,triage,priority,next_phase,residual_kind,signature,note
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,clipWithStencil,17,yes,missing,,na,P3,Phase 8,tracked,static bool clipWithStencil(SkCanvas* canvas);,SK_BUILD_FOR_ANDROID_FRAMEWORK and Ganesh-only Android framework helper; default Reskia build does not expose this member.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,SafetyNetLog,17,yes,missing,,na,P3,Phase 8,tracked,static void SafetyNetLog(const char*);,SK_BUILD_FOR_ANDROID_FRAMEWORK-only and depends on Android log APIs; keep for guarded Android framework batch.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,getSurfaceFromCanvas,17,yes,missing,,na,P3,Phase 8,tracked,static sk_sp<SkSurface> getSurfaceFromCanvas(SkCanvas* canvas);,SK_BUILD_FOR_ANDROID_FRAMEWORK-only helper; default Reskia build does not expose this member.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,SaveBehind,17,yes,missing,,na,P3,Phase 8,tracked,"static int SaveBehind(SkCanvas* canvas, const SkRect* subset);",SK_BUILD_FOR_ANDROID_FRAMEWORK-only helper using internal canvas APIs; default Reskia build does not expose this member.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,ResetClip,17,yes,missing,,na,P3,Phase 8,tracked,static void ResetClip(SkCanvas* canvas);,SK_BUILD_FOR_ANDROID_FRAMEWORK-only helper using internal canvas APIs; default Reskia build does not expose this member.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,getBaseWrappedCanvas,17,yes,missing,,na,P3,Phase 8,tracked,static SkCanvas* getBaseWrappedCanvas(SkCanvas* canvas);,SK_BUILD_FOR_ANDROID_FRAMEWORK-only helper using PaintFilterCanvas internals; default Reskia build does not expose this member.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,ShaderAsALinearGradient,48,yes,missing,,na,P3,Phase 8,tracked,"static bool ShaderAsALinearGradient(SkShader* shader, LinearGradientInfo*);",SK_BUILD_FOR_ANDROID_FRAMEWORK-only shader helper; default Reskia build does not expose this member.
include/codec,include/codec/SkCodec.h,SkCodec,Register,275,yes,missing,SkCodec_MakeFromData|SkCodec_MakeFromStream|SkCodec_MinBufferedBytesNeeded|SkCodec_ResultToString|SkCodec_bounds|SkCodec_delete|SkCodec_dimensions|SkCodec_getEncodedFormat,real_gap,P3,Phase 9 callback/provider,callback_provider,"static void Register( bool (*peek)(const void*, size_t), std::unique_ptr<SkCodec> (*make)(std::unique_ptr<SkStream>, SkCodec::Result*));",Codec callback/subclass API; apply callback/provider ownership rules before binding.
include/codec,include/codec/SkPngChunkReader.h,SkPngChunkReader,readChunk,8,no,missing,,real_gap,P3,Phase 9 callback/provider,callback_provider,"virtual bool readChunk(const char tag[], const void* data, size_t length) = 0;",Codec callback/subclass API; apply callback/provider ownership rules before binding.
include/core,include/core/SkBBHFactory.h,SkBBHFactory,operator(),32,no,missing,,na,P3,Phase 9 callback/provider,tracked,virtual sk_sp<SkBBoxHierarchy> operator()() const = 0;,abstract factory base call is not directly exposed; concrete SkRTreeFactory_call covers the actionable factory
include/core,include/core/SkBBHFactory.h,SkBBHFactory,~SkBBHFactory,32,no,missing,,na,P3,Phase 9 callback/provider,tracked,virtual ~SkBBHFactory() {},abstract factory base destructor; lifetime is only relevant for concrete factory wrapper design
include/core,include/core/SkDrawLooper.h,SkDrawLooper,makeContext,42,no,na,,na,P3,Phase 10,coverage_polish,virtual Context* makeContext(SkArenaAlloc*) const = 0;,legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,canComputeFastBounds,42,no,na,,na,P3,Phase 10,coverage_polish,bool canComputeFastBounds(const SkPaint& paint) const;,legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,computeFastBounds,42,no,na,,na,P3,Phase 10,coverage_polish,"void computeFastBounds(const SkPaint& paint, const SkRect& src, SkRect* dst) const;",legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,asABlurShadow,56,no,na,,na,P3,Phase 10,coverage_polish,virtual bool asABlurShadow(BlurShadowRec*) const;,legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,GetFlattenableType,56,yes,na,,na,P3,Phase 10,coverage_polish,static SkFlattenable::Type GetFlattenableType() { return kSkDrawLooper_Type; },legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,getFlattenableType,56,no,na,,na,P3,Phase 10,coverage_polish,SkFlattenable::Type getFlattenableType() const override { return kSkDrawLooper_Type; },legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,Deserialize,56,yes,na,,na,P3,Phase 10,coverage_polish,"static sk_sp<SkDrawLooper> Deserialize(const void* data, size_t size, const SkDeserialProcs* procs = nullptr) { return sk_sp<SkDrawLooper>(static_cast<SkDrawLooper*>( SkFlattenable::Deserialize( kSkDrawLooper_Type, data, size, procs).releas",legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,apply,56,no,na,,na,P3,Phase 10,coverage_polish,"void apply(SkCanvas* canvas, const SkPaint& paint, std::function<void(SkCanvas*, const SkPaint&)>);",legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
