id,area,api_pattern,files,rule_category,receiver_rule,input_rules,output_or_lifetime_rule,invalid_behavior,implementation_status,header_status,smoke_status,valid_path_status,last_batch,last_checked_at,evidence,notes
canvas_surface_context_getters,SkCanvas,"makeSurface|getSurface|recorder|recordingContext","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",returned-handle-borrowed-pointer,"canvas required","makeSurface info required; props optional","makeSurface returns caller-owned surface handle; getSurface/recorder/recordingContext return borrowed pointer",NULL canvas returns 0-or-NULL; factory failure returns 0,verified,documented,covered,covered,HN,2026-05-13,"223-phase-2-batch-hn-async-canvas-gradient-valid-paths.md",Surface-backed canvas getSurface and makeSurface valid paths are smoke-covered; recorder/recordingContext remain nullable borrowed getters on CPU surfaces.
image_texture_context_getters,SkImage,"isTextureBacked|textureSize|isValid","skia/capi/sk_image.cpp;skia/capi/sk_image.h",bool-size-getter-optional-context,"image required","isValid context optional","no ownership transfer",NULL image returns false-or-0,verified,documented,covered,representative-valid-path,HD,2026-05-13,"213-phase-2-batch-hd-image-texture-backend-context.md",Backend texture or Graphite specific C API was not exposed at this point.
canvas_matrix_getters,SkCanvas,"getLocalToDevice|getLocalToDeviceAs3x3|getTotalMatrix","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",caller-owned-handle-getter,"canvas required","none","returns caller-owned matrix handle",NULL canvas returns 0,verified,documented,covered,covered,HE,2026-05-13,"214-phase-2-batch-he-canvas-matrix-getters.md",Matrix getter ownership fixed by header and smoke.
image_ref_legacy_bitmap,SkImage,"ref|unref|release|unique|asLegacyBitmap","skia/capi/sk_image.cpp;skia/capi/sk_image.h",refcount-output-pointer,"image required except refcount null no-op","asLegacyBitmap bitmap required; legacyBitmapMode valid enum","bitmap is caller-owned output storage",refcount NULL no-op; unique false; asLegacyBitmap false,verified,documented,covered,representative-valid-path,HF,2026-05-13,"215-phase-2-batch-hf-image-ref-legacy-bitmap.md",Use this row before rechecking image refcount or legacy bitmap rules.
canvas_raster_factories,SkCanvas,"newFromBitmap|newFromBitmapWithProps|MakeRasterDirect|MakeRasterDirectN32","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",borrowed-storage-factory,"factory inputs required","bitmap/pixels/rowBytes required; props optional for MakeRasterDirect","pixel storage is caller-owned backing store and must outlive returned canvas",invalid input returns NULL-or-0; factory failure returns 0,verified,documented,covered,covered,HN,2026-05-13,"223-phase-2-batch-hn-async-canvas-gradient-valid-paths.md",Bitmap-backed and direct borrowed-storage canvas factories are smoke-covered with valid rowBytes and caller-owned backing storage.
canvas_state_getters,SkCanvas,"getSaveCount|save|restore|restoreToCount|isClipEmpty|isClipRect|quickReject|quickRejectRect","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",state-getter-mutation,"canvas required","quickReject geometry pointer required","no ownership transfer",numeric returns 0; bool returns false; mutation no-op,verified,documented,covered,covered,HN,2026-05-13,"223-phase-2-batch-hn-async-canvas-gradient-valid-paths.md",State getters plus valid quickReject path/rect calls are smoke-covered; quickReject result is device/clip dependent.
image_read_scale_pixels,SkImage,"readPixels|readPixelsWithContextPixmap|readPixelsWithImageInfo|readPixelsWithPixmap|scalePixels","skia/capi/sk_image.cpp;skia/capi/sk_image.h",pixel-storage-rowbytes,"image required","dstInfo/dstPixels or pixmap required; rowBytes valid; cachingHint valid; sampling required for scalePixels","caller-owned storage is not retained",invalid input returns false,verified,documented,covered,covered,GY,2026-05-13,"208-phase-2-batch-gy-image-read-scale-pixels.md",Pixmap rows require writable storage.
image_async_rescale,SkImage,"asyncRescaleAndReadPixels|asyncRescaleAndReadPixelsYUV420|asyncRescaleAndReadPixelsYUVA420","skia/capi/sk_image.cpp;skia/capi/sk_image.h",callback-failure,"image required","info/srcRect/dstSize required as applicable; enums valid; callback optional no-op","callback result is callback-only",invalid input calls callback with NULL result when callback exists,verified,documented,covered,representative-valid-path,HN,2026-05-13,"223-phase-2-batch-hn-async-canvas-gradient-valid-paths.md",Existing phase D smoke covers minimal valid SkImage asyncRescaleAndReadPixels callback path; YUV/YUVA valid paths remain environment-sensitive.
canvas_read_write_pixels,SkCanvas,"readPixels|readPixelsWithImageInfo|readPixelsWithPixmap|writePixels|writePixelsWithImageInfo","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",pixel-storage-rowbytes,"canvas required","bitmap/pixmap/info/pixels required; rowBytes valid","caller-owned storage is not retained",invalid input returns false,verified,documented,covered,representative-valid-path,GZ,2026-05-13,"209-phase-2-batch-gz-canvas-read-write-pixels.md",Covers canvas pixel I/O storage validation.
canvas_atlas_patch_vertices_mesh,SkCanvas,"drawAtlas|drawPatch|drawVertices|drawVerticesPtr|drawMesh","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",draw-array-enum-handle,"canvas required","count/array rules; optional colors; valid blend mode; valid handles","no ownership transfer; borrowed inputs not retained",invalid input is no-op,verified,documented,covered,representative-valid-path,GX,2026-05-13,"207-phase-2-batch-gx-canvas-atlas-patch-vertices-mesh.md",Use this row before rechecking atlas or vertices draw rules.
